DO0e439a-221026-UK161041,UK161041-221026-af886fc5,사랑이,포메라니안,모르겠어요,3,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2499213509/969e5f7d.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2499213509/969e5f7d.jpeg,35,30,18,10,USER,USER,USER,USER,47:22.9,1,0,FALSE
DO54c476-221101-UK161ca6,UK161ca6-221101-d321747b,심시루,말티즈,모르겠어요,1.6,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2506793566/14ee82c9.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2506793566/14ee82c9.jpeg,27,21,15,9,USER,USER,USER,USER,18:28.8,1,0,FALSE
DOa5a3b5-221017-UK16ad60,UK16ad60-221017-d3909c0b,김두부,비숑 프리제,모르겠어요,2.2,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2488147565/4d6b6004.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2488147565/4d6b6004.jpeg,30,25,20,15,USER,USER,USER,USER,59:12.4,1,0,FALSE
DOc3c80c-221025-UK196717,UK196717-221025-91c46bb5,렛서,비숑 프리제,모르겠어요,5.4,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2497455955/092629bd.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2497455955/092629bd.jpeg,25.6,28,24,26,USER,USER,USER,USER,13:54.7,1,0,FALSE
DO491e37-221025-UK1f443b,UK1f443b-221025-e9279c03,깡지,믹스 소형견,모르겠어요,8,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2497437275/903e6ce3.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2497437275/903e6ce3.jpeg,45,41,31,15,USER,USER,USER,USER,44:11.7,1,0,FALSE
DO94cc84-221023-UK20b609,UK20b609-221023-60503a0b,뭉치,비숑 프리제,모르겠어요,8.4,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2495106260/56e7da03.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2495106260/56e7da03.jpeg,44,48,23,23,USER,USER,USER,USER,45:37.2,1,0,FALSE
DO03fded-221024-UK238c4b,UK238c4b-221024-f5078c69,초코,말티즈,모르겠어요,6,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2497000473/df1efe05.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2497000473/df1efe05.jpeg,45,32,26,14,USER,USER,USER,USER,42:32.4,1,0,FALSE
DO8efeec-221007-UK27fa79,UK27fa79-221007-8565b990,맥스,래브라도 리트리버,모르겠어요,3,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2475427512/5d4547ee.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2475427512/5d4547ee.jpeg,30,30,15,12,USER,USER,USER,USER,03:31.7,1,0,FALSE
DO0affc3-221018-UK291aa1,UK291aa1-221018-4e0ffe36,뭉이,믹스 중형견,모르겠어요,8,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2488862851/109da2d9.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2488862851/109da2d9.jpeg,52,27,23,23,USER,USER,USER,USER,23:41.3,1,0,FALSE
DO12162b-221022-UK2ad521,UK2ad521-221022-114eba62,벤더,믹스 대형견,모르겠어요,30,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2494553940/973b96fb.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2494553940/973b96fb.jpeg,77,58,48,30,USER,USER,USER,USER,11:36.1,1,0,FALSE
