[ODD STUDIO]데이지 셔링 크롭 원피스 (핑크),1012,색상도 너무 예쁘고 디자인도 예뻐요~~^^등이긴 푸들인데 크롭 느낌으로 넘 귀여워요 ,네****,2022-05-09 02:30:47,색상도 너무 예쁘고 디자인도 예뻐요~~^^등이긴 푸들인데 크롭 느낌으로 넘 귀여워요(2022-05-08 06:39:20 에 등록된 네이버 페이 구매평)
[ODD STUDIO] 해또 크롭 탱크탑,1011,역시 예쁘네요! 다섯개중 세개있는데 두개도 살까 고민중.. ,네****,2022-04-29 05:58:57,역시 예쁘네요! 다섯개중 세개있는데 두개도 살까 고민중..(2022-04-28 21:56:00 에 등록된 네이버 페이 구매평)
[ODD STUDIO] 누또 크레용 크롭 맨투맨 티셔츠(핑크),1004,만족 ,네****,2022-04-20 02:26:33,그냥 그래요~~~흠(2022-04-19 00:49:00 에 등록된 네이버 페이 구매평)
[ODD STUDIO] 데이지 셔링 크롭 원피스 (옐로우),1003,봄에 넘 예쁜 옷이예요~! ,네****,2022-04-17 05:56:18,봄에 넘 예쁜 옷이예요~!(2022-04-16 22:38:58 에 등록된 네이버 페이 구매평)
[ODD STUDIO] 데이지 셔링 크롭 원피스 (그린),1002,산뜻한게 너무 예뻐요ㅎㅎ둘이 세트로 입혔어요~^^ ,네****,2022-04-17 05:56:17,산뜻한게 너무 예뻐요ㅎㅎ@>@둘이 세트로 입혔어요~^^(2022-04-16 22:36:31 에 등록된 네이버 페이 구매평)
[ODD STUDIO]오로라 시스루 원피스-오로라퍼플,1001,L사이즈가 없어서 아쉬웠지만 선물하려고 M사이즈 구입 했어요~ ,네****,2022-04-17 03:03:08,L사이즈가 없어서 아쉬웠지만 선물하려고 M사이즈 구입 했어요~(2022-04-16 10:20:55 에 등록된 네이버 페이 구매평)
[ODD STUDIO]데이지 셔링 크롭 원피스 (핑크),1000,이쁜 상품 좋은 가격에 구매 했어요^털찐 상태라 3.8키로 L사이즈 ,네****,2022-04-17 03:03:06,이쁜 상품 좋은 가격에 구매 했어요^@>@털찐 상태라 3.8키로 L사이즈(2022-04-16 10:19:15 에 등록된 네이버 페이 구매평)
[ODD STUDIO] 또또또 친구들 선캡_오댕,999,만족 ,네****,2022-04-16 05:21:44,너무 귀엽습니다ㅎㅎ 여름에 쓰려고 미리 구매했어요!(2022-04-15 18:43:40 에 등록된 네이버 페이 구매평)
[ODD STUDIO] 데이지 셔링 크롭 원피스 (그린),998,만족 ,네****,2022-04-16 05:11:43,너무 귀여워용 저렴하게 잘 구매했어요 분홍색도 하나 더 구매하려구용(2022-04-15 17:57:10 에 등록된 네이버 페이 구매평)
[ODD STUDIO] 데이지 셔링 크롭 원피스 (그린),997,만족 ,네****,2022-04-16 02:28:28,졸귀탱인데 등쪽 프릴부분이 자꾸 발라당까져서 @>@좀 아쉽ㅠㅠ(2022-04-15 01:03:45 에 등록된 네이버 페이 구매평)
[ODD STUDIO] 데이지 셔링 크롭 원피스 (그린),996,만족 ,네****,2022-04-15 03:16:07,색상 너무 예쁘고 크롭이라서 더 귀여워요(2022-04-14 10:10:10 에 등록된 네이버 페이 구매평)
[ODD STUDIO]데이지 셔링 크롭 원피스 (핑크),989,2.6키로 아가 m사이즈 예쁘게 맞아요 ,네****,2022-04-08 03:33:02,2.6키로 아가 m사이즈 예쁘게 맞아요(2022-04-07 12:42:31 에 등록된 네이버 페이 구매평)
[ODD STUDIO]데이지 셔링 크롭 원피스 (핑크),988,2.6키로 아가 m사이즈 예쁘게 맞아요 ,네****,2022-04-08 03:33:01,2.6키로 아가 m사이즈 예쁘게 맞아요(2022-04-07 12:41:52 에 등록된 네이버 페이 구매평)
[ODD STUDIO]또또또친구들 UV 선캡_따또 해또 누또 껴또 (4COLOR),987,예쁘게 잘 썼어요~!! ,네****,2022-04-08 02:23:52,예쁘게 잘 썼어요~!!(2022-04-07 02:46:43 에 등록된 네이버 페이 구매평)
[ODD STUDIO] 따또 인형 방수헤어밴드 (스누드),986,가족 선물로 했는데 마음에 들어했어요 ,네****,2022-04-08 02:21:27,가족 선물로 했는데 마음에 들어했어요(2022-04-07 01:40:44 에 등록된 네이버 페이 구매평)
[ODD STUDIO] 데이지 셔링 크롭 원피스 (그린),985,몸통에 조금 짧긴 했지만 이뿌게 잘 맞아요 ,네****,2022-04-07 06:11:48,몸통에 조금 짧긴 했지만 이뿌게 잘 맞아요(2022-04-06 22:17:37 에 등록된 네이버 페이 구매평)
[ODD STUDIO] 데이지 셔링 크롭 원피스 (그린),984,만족 ,네****,2022-04-07 04:56:18,미듐인데 약간 작네요 포메라 털이만ㄹ아서 그런거같아오ㅔ(2022-04-06 18:03:23 에 등록된 네이버 페이 구매평)
[ODD STUDIO] 데이지 셔링 크롭 원피스 (그린),983,만족 ,네****,2022-04-07 03:47:16,사진보다 실제가 훨씬 더 예쁩니다! 다른 색깔도 구매하고 싶네요>_<너무 예뻐요 놀러 갈 때 입혀야 겠어요 ❤️(2022-04-06 12:43:57 에 등록된 네이버 페이 구매평)
[ODD STUDIO]오로라 시스루 원피스-오로라퍼플,982,만족 ,네****,2022-04-05 05:49:21,예뻐요! 세일때 사서 싸게 구매했습니다(2022-04-04 23:39:15 에 등록된 네이버 페이 구매평)
[ODD STUDIO]데이지 셔링 크롭 원피스 (핑크),981,만족 ,네****,2022-04-05 05:49:21,예뻐요! 세일때 사서 싸게 구매했습니다(2022-04-04 23:38:59 에 등록된 네이버 페이 구매평)
[ODD STUDIO] 테슬 스카프_핑크,974,색감이 너무이뻐용 목에 걸어주면 댕댕이가 화사해져요 ,네****,2022-04-01 05:31:23,색감이 너무이뻐용 목에 걸어주면 댕댕이가 화사해져요(2022-03-31 20:31:06 에 등록된 네이버 페이 구매평)
[ODD STUDIO]오로라 시스루 원피스-오로라퍼플,973,저렴하게 너무 잘샀어요~~천도좋고 귀여워용 ,네****,2022-03-30 04:02:41,저렴하게 너무 잘샀어요~~@>@천도좋고 귀여워용(2022-03-29 15:44:32 에 등록된 네이버 페이 구매평)
[ODD STUDIO] 데이지 셔링 크롭 원피스 (그린),972,저렴하게 너무 잘샀어요~~천도좋고 귀여워용 ,네****,2022-03-30 04:02:40,저렴하게 너무 잘샀어요~~@>@천도좋고 귀여워용(2022-03-29 15:43:42 에 등록된 네이버 페이 구매평)
[ODD STUDIO]플라워 시스루 크롭탑-애플그린,971,만족 ,네****,2022-03-26 05:14:27,너무너무 마음에 들어요(2022-03-25 17:28:49 에 등록된 네이버 페이 구매평)
[ODD STUDIO]오로라 시스루 원피스-오로라퍼플,970,만족 ,네****,2022-03-26 05:14:27,너무너무 마음에 들어요(2022-03-25 17:28:28 에 등록된 네이버 페이 구매평)
[ODD STUDIO] 데이지 셔링 크롭 원피스 (그린),969,만족 ,네****,2022-03-25 02:48:34,노란색 못구입해서 속상합니다 ㅠ(2022-03-24 07:22:59 에 등록된 네이버 페이 구매평)
[ODD STUDIO] 오댕 노즈워크 장난감,968,만족 ,네****,2022-03-23 05:41:49,잘 가지고 놀아요 !(2022-03-22 21:03:43 에 등록된 네이버 페이 구매평)
[베스트에버] 파 바스락삑삑 토이,967,일단 배송이 빨라서 좋구요예전에 이 장난감 사줬는데다 망가뜨려서 하나 더 사줬는데오늘도 하루만에 사... ,네****,2022-03-23 05:39:19,일단 배송이 빨라서 좋구요@>@예전에 이 장난감 사줬는데@>@다 망가뜨려서 하나 더 사줬는데@>@오늘도 하루만에 사망할꺼지만....  @>@다음에 또 구매하러 오께용(2022-03-22 20:48:39 에 등록된 네이버 페이 구매평)
[ODD STUDIO] 데이지 셔링 크롭 원피스 (그린),966,너무 마음에 들어요!! ,네****,2022-03-22 04:58:04,너무 마음에 들어요!!(2022-03-21 20:32:13 에 등록된 네이버 페이 구매평)
[ODD STUDIO] 데이지 셔링 크롭 원피스 (옐로우),959,만족 ,네****,2022-03-21 02:54:32,예뻐요 날 따뜻해지면 입힐라고용(2022-03-20 08:57:57 에 등록된 네이버 페이 구매평)
[ODD STUDIO]오로라 시스루 원피스-오로라퍼플,958,만족 ,네****,2022-03-21 02:54:32,사랑스러워용ㄱㄱㅋ@>@값도 착해서 맘에들어용(2022-03-20 08:57:29 에 등록된 네이버 페이 구매평)
[ODD STUDIO] 뉴데일리 버튼베베 당근토끼(2COLOR),957,만족 ,네****,2022-03-21 02:54:32,너무귀엽고 세일해서 싸게샀어용(2022-03-20 08:54:45 에 등록된 네이버 페이 구매평)
[ODD STUDIO] 신호등 양면패딩 베스트  (아이보리&핫핑크),956,만족 ,네****,2022-03-20 03:32:58,역시 두번째 사는거지만 가볍고 따뜻하고 겨울에 이거 하나만 입혀도 되고 만족해요(2022-03-19 11:05:19 에 등록된 네이버 페이 구매평)
[ODD STUDIO] 데이지 셔링 크롭 원피스 (옐로우),955,귀여워용 ㅎㅎ싸게 잘샀어요 ,네****,2022-03-19 04:56:42,귀여워용 ㅎㅎ싸게 잘샀어요(2022-03-18 16:39:41 에 등록된 네이버 페이 구매평)
[ODD STUDIO] 신호등 양면패딩 베스트 (민트&라벤더),954,저렴한 가격에 완전 득템했어요민트랑 퍼플이 우리 강아지한테 정말 이쁘게 어울리네요 ,네****,2022-03-19 02:48:37,저렴한 가격에 완전 득템했어요@>@민트랑 퍼플이 우리 강아지한테 정말 이쁘게 어울리네요(2022-03-18 09:22:58 에 등록된 네이버 페이 구매평)
