DOd8609e-221017-UK0baddb,UK0baddb-221017-3b99a50c,레오,푸들토이,모르겠어요,3.4,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2487983513/1cc092e3.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2487983513/1cc092e3.jpeg,33,34,20,25,USER,USER,USER,USER,06:53.3,0,0
DOe384d7-221009-UK0bd01b,UK0bd01b-221009-fec77c0f,머니,진돗개,모르겠어요,20,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2478313894/33c052b5.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2478313894/33c052b5.jpeg,64,51,41,27.5,USER,USER,USER,USER,48:24.1,1,0
DO9552a8-221023-UK0d8518,UK0d8518-221023-a6c333c4,아루,치와와,모르겠어요,2,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2495585093/61570bbb.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2495585093/61570bbb.jpeg,29.27,21.44,19.15,13.23,RECOMMEND,RECOMMEND,RECOMMEND,RECOMMEND,14:58.3,1,0
DO53671d-221024-UK0d8518,UK0d8518-221023-a6c333c4,아루,치와와,모르겠어요,2.1,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2495585093/7d957de4.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2495585093/7d957de4.jpeg,26,26,22,12,USER,USER,USER,USER,04:49.4,0,0
DOd546a9-221018-UK117fe7,UK117fe7-221018-7a140ef9,구뽕이,믹스 중형견,모르겠어요,3.2,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2488772799/a559eb9d.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2488772799/a559eb9d.jpeg,33,34,20,14,USER,USER,USER,USER,10:47.2,1,0
DOd9416f-221017-UK11fbab,UK11fbab-221017-15913cd3,사랑이,포메라니안,모르겠어요,4.8,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2487359982/7b263f61.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2487359982/7b263f61.jpeg,30.1,48,24.2,27.8,USER,USER,USER,USER,01:01.6,1,0
DO9b6095-221030-UK12537b,UK12537b-221030-6da0b6ca,라라,보더콜리,모르겠어요,17.5,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2504074879/372f327f.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2504074879/372f327f.jpeg,60,52,33,15,USER,USER,USER,USER,02:38.5,1,0
DOc0dc92-221018-UK12e6be,UK12e6be-221018-2875b155,빵남매,포메라니안,모르겠어요,2.7,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2488575933/dd8504bd.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2488575933/dd8504bd.jpeg,35.49,31.61,17.72,12.79,RECOMMEND,RECOMMEND,RECOMMEND,RECOMMEND,21:39.3,1,0
DO19615c-221022-UK137c1f,UK137c1f-221022-112dc830,망고,믹스 소형견,모르겠어요,3.7,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2494615969/19ff4ce4.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2494615969/19ff4ce4.jpeg,37.38,30.93,22.79,16.98,RECOMMEND,RECOMMEND,RECOMMEND,RECOMMEND,04:17.4,1,0
DO0e439a-221026-UK161041,UK161041-221026-af886fc5,사랑이,포메라니안,모르겠어요,3,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2499213509/969e5f7d.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2499213509/969e5f7d.jpeg,35,30,18,10,USER,USER,USER,USER,47:22.9,1,0
DO54c476-221101-UK161ca6,UK161ca6-221101-d321747b,심시루,말티즈,모르겠어요,1.6,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2506793566/14ee82c9.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2506793566/14ee82c9.jpeg,27,21,15,9,USER,USER,USER,USER,18:28.8,1,0
DOaa3db6-221019-UK163b21,UK163b21-221019-b5b229a3,채아,말티즈,모르겠어요,1.7,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2490356142/9c0a4309.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2490356142/9c0a4309.jpeg,27.73,23.39,18.69,11.28,RECOMMEND,RECOMMEND,RECOMMEND,RECOMMEND,14:25.1,1,0
DO7d5593-221019-UK163b21,UK163b21-221019-b5b229a3,채아,말티즈,모르겠어요,1.7,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2490356142/2237aa80.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2490356142/2237aa80.jpeg,27.86,24.35,17.94,10.71,RECOMMEND,RECOMMEND,RECOMMEND,RECOMMEND,16:19.4,0,0
DOa5a3b5-221017-UK16ad60,UK16ad60-221017-d3909c0b,김두부,비숑 프리제,모르겠어요,2.2,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2488147565/4d6b6004.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2488147565/4d6b6004.jpeg,30,25,20,15,USER,USER,USER,USER,59:12.4,1,0
DOc3c80c-221025-UK196717,UK196717-221025-91c46bb5,렛서,비숑 프리제,모르겠어요,5.4,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2497455955/092629bd.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2497455955/092629bd.jpeg,25.6,28,24,26,USER,USER,USER,USER,13:54.7,1,0
DO779484-221014-UK19f75b,UK19f75b-221014-8db79200,코코,포메라니안,모르겠어요,7.9,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2484767413/352cacc7.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2484767413/352cacc7.jpeg,49.55,38.19,33.64,21.28,RECOMMEND,RECOMMEND,RECOMMEND,RECOMMEND,32:12.3,1,0
DOf542c7-221022-UK1a5b57,UK1a5b57-221022-7eadd5cb,모카,웰시 코기,모르겠어요,11,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2493698197/841a6513.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2493698197/841a6513.jpeg,53.8,47.32,35.31,14.53,RECOMMEND,RECOMMEND,RECOMMEND,RECOMMEND,01:58.7,1,0
DO428ce1-221017-UK1baa4c,UK1baa4c-221017-ada8824c,코코,푸들토이,모르겠어요,6.6,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2487503352/85f1e048.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2487503352/85f1e048.jpeg,44.5,38,27.97,23.27,RECOMMEND,RECOMMEND,RECOMMEND,RECOMMEND,05:54.9,1,0
DO491e37-221025-UK1f443b,UK1f443b-221025-e9279c03,깡지,믹스 소형견,모르겠어요,8,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2497437275/903e6ce3.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2497437275/903e6ce3.jpeg,45,41,31,15,USER,USER,USER,USER,44:11.7,1,0
DOcfd61d-221011-UK205433,UK205433-221011-9d9c8939,하늘별이 ,비숑 프리제,모르겠어요,5,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2479786877/eeff87f0.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2479786877/eeff87f0.jpeg,40.85,35.77,25.31,17.42,RECOMMEND,RECOMMEND,RECOMMEND,RECOMMEND,38:19.1,1,0
DO94cc84-221023-UK20b609,UK20b609-221023-60503a0b,뭉치,비숑 프리제,모르겠어요,8.4,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2495106260/56e7da03.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2495106260/56e7da03.jpeg,44,48,23,23,USER,USER,USER,USER,45:37.2,1,0
DOcfb7cd-221031-UK21fa97,UK21fa97-221031-3f60eda0,꼬미,비숑 프리제,모르겠어요,3.8,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2506170499/0042421a.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2506170499/0042421a.jpeg,37.58,31.74,22.47,16.96,RECOMMEND,RECOMMEND,RECOMMEND,RECOMMEND,53:55.6,1,0
DO6c694f-221007-UK22d236,UK22d236-221007-7443c86e,쪼꼬,믹스 소형견,모르겠어요,1.4,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2475301415/eca24cf4.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2475301415/eca24cf4.jpeg,21.14,16.97,12.94,9.22,RECOMMEND,RECOMMEND,RECOMMEND,RECOMMEND,20:26.0,1,0
