UK1a2e33-220819-46eaaa6d,뽀야,믹스 소형견,여자,4.7,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2394731696/2193473d.jpeg,40.67,32.17,23.63,21.12,USER,USER,USER,USER,58:42.4,1,0,TRUE
UK3a2ad1-220811-23894548,주몽,잭 러셀 테리어,여자,9,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2384253740/b88e87bf.jpeg,52,39.88,35,20.19,USER,RECOMMEND,USER,RECOMMEND,44:00.7,1,0,TRUE
UK2bc76f-220822-00ba9fb7,초코,치와와,여자,3.8,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2398291416/5d64f795.jpeg,42,30,26,16.57,USER,USER,USER,RECOMMEND,33:33.0,1,0,TRUE
UK787c89-220822-ae0ea5b6,김응가,푸들토이,남자,4.3,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2398483136/9923aa05.jpeg,39.66,33,28,17.41,USER,USER,USER,USER,49:45.6,1,0,TRUE
UK4ce4cd-220823-5934b605,빨강이,페키니즈,남자,5.7,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2399686036/088bec2c.jpeg,42,38.52,27.78,19.89,USER,RECOMMEND,RECOMMEND,RECOMMEND,55:38.5,1,0,TRUE
US2fbf10-220824-3563570f,토토,푸들토이,남자,5.5,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/myoung96/f0cd6d55.jpeg,46,29,25,19,USER,USER,USER,USER,27:28.0,1,0,TRUE
UK2a4d6b-220824-38779999,구름,포메라니안,남자,2,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2401981623/b730190e.jpeg,28,27.09,14.96,10.97,USER,RECOMMEND,RECOMMEND,RECOMMEND,55:18.3,1,0,TRUE
UKce364c-220827-0a9acb08,쎈,비숑 프리제,남자,7.5,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2404721779/301f41d5.jpeg,47.9,40.9,30.5,22,USER,USER,USER,USER,32:39.7,1,0,TRUE
US222225-220812-fec4081c,최미니,포메라니안,여자,3,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/mini0724/9c1fe660.jpeg,38,33.44,20,13.39,USER,RECOMMEND,USER,RECOMMEND,57:35.6,1,0,TRUE
US35dd93-220827-5898d64e,해피,말티즈,남자,3.2,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/jhs6084/035e115b.jpeg,35.15,28,26,16.73,RECOMMEND,USER,USER,RECOMMEND,41:02.9,1,0,TRUE
